name,ogrn,status,region,okopf,okopf_id
"ПОДДЕРЖКИ ДЕТЕЙ, НАХОДЯЩИХСЯ В ТРУДНОЙ ЖИЗНЕННОЙ СИТУАЦИИ, ФОНД",1137500000263,Действующая,Забайкальский край,Фонды,70400
"ПОДДЕРЖКИ ДЕТСКОГО И ЮНОШЕСКОГО ТВОРЧЕСТВА ИМЕНИ НАДИ РУШЕВОЙ, ФОНД",1211700000951,Действующая,Тыва (Республика),Фонды,70400
"ПОДДЕРЖКИ ЗЕМЛЯЧЕСТВА ВЕРХОЯНСКОГО РАЙОНА, ФОНД",1211400006751,Действующая,Саха (Республика) (Якутия),Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ ГРЕБЛИ АЛТАЙСКОГО КРАЯ, ФОНД",1202200008207,Действующая,Алтайский край,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ ДЕТСКОГО И ЮНОШЕСКОГО ФУТБОЛА ПОБЕДА, КНАОФ",1182724012580,Действующая,Хабаровский край,Общественные фонды,70403
"ПОДДЕРЖКИ И РАЗВИТИЯ ДЕТСКОГО И ЮНОШЕСКОГО ХОККЕЯ, КНАОФ",1152700001431,Действующая,Хабаровский край,Общественные фонды,70403
"ПОДДЕРЖКИ И РАЗВИТИЯ ДЕТСКОГО САДА № 450, ФОНД",1075400004316,Действующая,Новосибирская область,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ ЖЕНСКОГО ХОККЕЯ С МЯЧОМ ИРКУТСКОЙ ОБЛАСТИ, ФОНД",1133850027783,Действующая,Иркутская область,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ КУЛЬТУРЫ ИРКУТСКА, ФОНД",1173850006990,Действующая,Иркутская область,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ МАССОВОГО СПОРТА, ФОНД",1178600000457,Действующая,Тюменская область,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ МБОУ СОШ № 54, ФОНД",1145476054965,Действующая,Новосибирская область,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ ПРЕДПРИНИМАТЕЛЬСТВА, ФОНД",1177232029611,Действующая,Тюменская область,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ САМБО И ДЗЮДО, ФОНД",1122500002723,Действующая,Приморский край,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ СМИ, ФОНД",1052466189731,Действующая,Красноярский край,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ СОЦИАЛЬНЫХ ИНИЦИАТИВ, ФОНД",1024101017709,Действующая,Камчатский край,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ СПОРТА А.К., ФОНД",1182225003861,Действующая,Алтайский край,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ СПОРТИВНОЙ БОРЬБЫ НА ТЕРРИТОРИИ ИРКУТСКОЙ ОБЛАСТИ, ФОНД",1183850036567,Действующая,Иркутская область,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ ТЕАТРАЛЬНОГО ИСКУССТВА ХАКАСИИ, ФОНД",1191900000401,Действующая,Хакасия (Республика),Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ УРО РАН, ЕОБФ",1036605607312,Действующая,Свердловская область,Благотворительные фонды,70401
"ПОДДЕРЖКИ И РАЗВИТИЯ ХОРА ЛЮБИТЕЛЕЙ ПЕНИЯ, ФОНД",1196658077516,Действующая,Свердловская область,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ ШКОЛЫ № 19, ФОНД",1115400001078,Действующая,Новосибирская область,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ ШКОЛЫ № 76 Г.ИРКУТСКА, ФОНД",1103800002822,Действующая,Иркутская область,Фонды,70400
"ПОДДЕРЖКИ И РАЗВИТИЯ ШКОЛЫ №16 Г. БРАТСКА АЛЬЯНС, БФ",1103800002305,Действующая,Иркутская область,Благотворительные фонды,70401
"ПОДДЕРЖКИ ИСЛАМСКОЙ РЕЛИГИИ, ФОНД",1120500000092,Действующая,Дагестан (Республика),Благотворительные фонды,70401
"ПОДДЕРЖКИ КООПЕРАЦИИ РЕСПУБЛИКИ БУРЯТИЯ, ФОНД",1180327008278,Действующая,Бурятия (Республика),Фонды,70400
"ПОДДЕРЖКИ ЛИЦЕЯ №31, ФОНД",1097400002919,Действующая,Челябинская область,Фонды,70400
"ПОДДЕРЖКИ ЛЮБИТЕЛЬСКОГО СПОРТА И МОЛОДЕЖНЫХ ИНИЦИАТИВ СВЕРДЛОВСКОЙ ОБЛАСТИ, НЕКОММЕРЧЕСКИЙ ФОНД",1136600003704,Действующая,Свердловская область,Фонды,70400
"ПОДДЕРЖКИ МАОУ СОШ № 93, ФОНД",1086600004402,Действующая,Свердловская область,Фонды,70400
"ПОДДЕРЖКИ МОЛОДЕЖНОГО ПАРЛАМЕНТАРИЗМА, РОФ",1110500001237,Действующая,Дагестан (Республика),Общественные фонды,70403
"ПОДДЕРЖКИ МСП ЗГО, ФОНД",1127400002883,Действующая,Челябинская область,Фонды,70400
"ПОДДЕРЖКИ НАСЕЛЕНИЯ АЛТАЙСКОГО КРАЯ, ФОНД",1212200013310,Действующая,Алтайский край,Благотворительные фонды,70401
"ПОДДЕРЖКИ НАУКИ, ИСКУССТВА, ОБРАЗОВАНИЯ, ФОНД",1030700226204,Ликвидируется,Кабардино-Балкарская Республика,Фонды,70400
"ПОДДЕРЖКИ ПРЕДПРИНИМАТЕЛЬСТВА Г. БОДАЙБО И РАЙОНА, ФОНД",1103800003053,Ликвидируется,Иркутская область,Фонды,70400
"ПОДДЕРЖКИ НОВОСИБИРСКОГО ВЫСШЕГО ВОЕННОГО КОМАНДНОГО УЧИЛИЩА И ЕГО ВЫПУСКНИКОВ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1125400000263,Действующая,Новосибирская область,Благотворительные фонды,70401
"ПОДДЕРЖКИ ОБРАЗОВАНИЯ, НАУКИ И КУЛЬТУРЫ ИМЕНИ АМЕТ-ХАНА СУЛТАНА, ФОНД",1160571050716,Действующая,Дагестан (Республика),Фонды,70400
"ПОДДЕРЖКИ ОБЩЕСТВЕННЫХ ОБЪЕДИНЕНИЙ, ФОНД",1115400000418,Действующая,Новосибирская область,Фонды,70400
