website,robots_txt,sitemap_page,is_sitemap_in_robots,ogrn
http://fondsvetfavora.ru,True,True,False,1205000099996
http://territoriya16.ru,True,False,False,1201600087556
http://территория16.рф,False,False,False,1201600087556
http://detilubyat.ru,True,False,False,1205000111580
http://extrememotorsport.ru,True,False,False,1203900015219
http://it-cube18.ru,True,False,False,1201800007782
http://leader-nn.ru,False,False,False,1205200045490
http://verabf.ru,True,True,True,1200300022834
http://futsal-ffsz.ru,True,True,True,1204700012736
http://roorsspk.ru,True,False,False,1205900008269
http://landfestnn.ru,True,True,False,1205200000015
http://chgtt-95.ru,True,False,False,1202000004238
http://rusege5.ru,True,True,True,1206100010819
https://fond-ohana.ru,True,True,True,1207700434820
http://dobrye-sosedi.ru,True,True,True,1207700434831
http://nkomayak.ru,True,True,True,1204800013318
http://ritm-school.ru,True,True,False,1207300001996
http://открытыйдагестан.рф,True,True,True,1200500014186
http://fondalisa.ru,True,True,False,1205200040429
http://crimea-education.ru,True,True,True,1209100005400
http://revsouznn.ru,False,True,False,1205200004437
http://everest-ptz.ru,True,True,False,1201000001762
http://musamin.ru,True,False,False,1207700162306
http://centrpodderzhki.ru,True,True,True,1206100016297
http://hcbaikal.ru,True,True,True,1203800001294
http://fond-doroga-dobra.ru,True,True,False,1206100009554
http://fond-magnit.ru,True,False,False,1207400000961
http://4itnn.ru,True,True,True,1205200048646
http://talantovlik.ru,True,True,True,1209100016773
http://anomirmed.ru,True,True,True,1207700470383
http://vodoroslyamkrishka.ru,True,True,True,1206400021002
http://embassylife.ru,True,True,True,1207800163185
http://volgar-fc.ru,True,False,False,1203000005669
http://краснодар-ауц.рф,True,True,True,1202300056320
http://црцтпо.рф,True,False,False,1206000004319
http://alhn.ru,True,True,False,1206600014037
https://fondsabri.ru,True,True,True,1205000111623
http://see-heart.ru,True,True,True,1213600016442
http://amkar-perm.ru,True,True,False,1215900006849
http://atestet.ru,False,False,False,1215000031553
http://avtogrenada.ru,True,True,False,1212500007830
http://womensbreakfast.ru,False,False,False,1210200012615
http://fundrs.ru,True,False,False,1215400020186
http://health-360.ru,False,False,False,1217700217767
http://sozidanie-fond.ru,True,False,False,1217400016382
http://fund-dm.ru,True,True,False,1217200007408
http://anoteatr.ru,False,False,False,1212300025607
http://fondpravonashizn.ru,True,True,True,1212300026652
http://arkkpay.ru,True,True,True,1214000000280
http://arcticmroo.ru,False,False,False,1215100001093
http://eurekacenter.ru,True,True,True,1216500002157
http://stabraz.ru,True,True,False,1215000049791
http://tineodin.ru,True,True,True,1212300022593
http://ratmed.ru,True,True,True,1217800069783
http://рушева.рф,True,True,True,1211700000951
https://www.mirobsheniya.com,True,True,True,1217700236214
http://33anvo.ru,True,True,False,1213300004268
http://fond-nl.ru,True,True,True,1217400018186
http://stavdog.ru,True,True,True,1212600005936
http://luchik-pom.ru,True,True,False,1215000022313
http://tulateh.ru,True,False,False,1217100004549
http://gociss.ru,True,True,True,1217800047431
http://rcudm.ru,False,False,False,1211800005515
http://arbitration-niratec.ru,False,False,False,1217800051435
http://niratec.ru,False,False,False,1217800051435
http://invest-education.ru,False,False,False,1217800051501
http://myachmedia.ru,True,True,True,1217700238282
http://arch-conservation.ru,False,False,False,1217700237809
http://centerhercules.ru,True,True,True,1217800074513
http://apelsin-school.ru,True,True,True,1217700251581
http://duhovnayazabota.ru,True,True,True,1217700253430
http://smpo-sro.ru,True,True,True,1211600037560
http://ank72.ru,True,True,True,1217200003140
http://roo-mort.ru,True,False,False,1217700089133
http://dommoy-bf.ru,False,False,False,1211200001264
http://irpe.ru,True,False,False,1217700248369
http://avangardclub-71.ru,True,True,True,1217100008641
http://napsrf.ru,True,True,False,1217800033879
http://reverseperspective.ru,False,True,False,1217800062534
http://leningrad872.ru,False,False,False,1217800062556
http://rccrme.ru,True,True,True,1211200002232
http://saranskfc.ru,False,False,False,1211300002143
http://soya-pfo.ru,True,False,False,1216300033817
http://ecomayak.ru,False,True,False,1212300039380
https://zhitzavtra.ru,True,True,True,1212200018414
http://anogn.ru,True,True,False,1217700334653
http://taekwondo76.ru,True,True,True,1217600011298
http://armastrafond.ru,False,False,False,1213000003237
http://ppseminary.ru,True,True,True,1217700327866
http://anoleva.ru,True,True,True,1217400025105
http://paulineschool.ru,True,False,False,1215400030010
http://smn-tambov.ru,True,True,True,1216800003606
http://poshlipoehali.ru,True,True,True,1217800085909
https://anomamulya.ru,True,True,False,1217400006097
http://slonfund.ru,True,True,False,1217700075670
http://creative-economy.ru,True,True,False,1217700331650
http://veratv.ru,False,True,False,1217700075790
http://вератв.рф,False,True,False,1217700075790
http://progress-edu.ru,False,False,False,1217800082796
http://angelmansyndrome.ru,True,True,True,1217700075669
https://www.vspomojeniye.ru,True,True,True,1217800065394
http://ice-srm.ru,False,False,False,1217700065285
http://greenparty21.ru,False,False,False,1212100001739
http://help-hand.ru,True,True,True,1217700317064
http://rcc43.ru,False,False,False,1214300005545
http://detiuralarb.ru,True,True,True,1210200035528
http://cska-pvc.ru,True,True,True,1215000040640
http://fond214-vo.ru,True,False,False,1213300004950
http://dorojezolota.ru,True,True,True,1214600002363
http://fond-talina.ru,True,True,True,1211300002231
http://fondtalina.ru,True,False,False,1211300002231
http://фонд-талина.рф,True,False,False,1211300002231
http://фондталина.рф,True,False,False,1211300002231
http://fams-svo.ru,True,True,True,1216600009207
http://nasonl.ru,True,True,True,1217700075010
http://rcc14.ru,True,True,True,1211400005585
http://fondgoroddetstva.ru,True,True,False,1210200030941
http://tvcenter.ru,True,True,True,1217700279928
http://fond-zernyshko.ru,True,False,False,1217700095942
https://www.mogu27.ru,True,True,True,1212700008839
http://орто-спорт.рф,True,True,True,1215000062122
http://golos-med.ru,True,False,False,1215000064465
http://fperspective.ru,True,False,False,1217700285120
http://fskills.ru,True,False,False,1217700288739
http://prostye-ludi.ru,False,False,False,1212600007300
http://fond-sma.ru,True,True,True,1212300033340
http://miloserdie-prichastnost.ru,True,True,True,1216200005780
http://anoceli.ru,False,False,False,1217700089430
http://za-ural.ru,True,False,False,1217400009969
http://tolerance-center.ru,True,True,True,1217700132165
http://гнездо38.рф,True,True,True,1213800007410
http://abokrasnodar.ru,True,True,False,1212300022263
http://proshkola18.ru,True,False,False,1217700274054
http://мастсл.рф,True,True,True,1216100015890
http://flying-generation.ru,True,True,True,1217700128359
http://s-dobrom.ru,True,True,False,1216000002415
http://findsalvation.ru,True,True,False,1215900004154
http://univermol68.ru,True,True,True,1216800002792
http://itacademy21.ru,False,False,False,1212100005930
http://frontstory.ru,True,True,True,1217700267718
http://absf.ru,True,False,False,1216300037700
http://interced.ru,True,True,True,1217700373296
http://vshgo.ru,True,True,False,1217700135564
http://anoecograd.ru,True,True,True,1214700012845
http://profmasterstvo.ru,True,True,True,1217700141999
http://novtechschool.ru,True,True,True,1215300003599
http://frprh.ru,True,True,False,1211900002621
http://ангыр.рф,True,True,True,1211700001358
http://antedu.ru,False,True,False,1215000078611
http://прознания.рф,True,True,False,1216600028897
http://alternativaschool.ru,True,True,True,1216300035764
http://цпв-гвардия.рф,True,False,False,1217700149985
http://schoolimtp.ru,False,False,False,1217700145332
http://stepfond.ru,True,True,True,1213900002865
http://moosp.ru,True,True,False,1217700356356
http://bfrubystar.ru,True,True,True,1215000025460
http://рубиноваязвезда.рф,True,True,True,1215000025460
http://gimnazia-roslavl.ru,False,False,False,1216700003354
http://abatcluster.ru,True,False,False,1212100005600
http://kkfound.ru,True,True,False,1217700102520
http://gran-i.ru,False,True,False,1218600002840
http://anokns.ru,False,False,False,1218600002862
http://проектбудущее.рф,True,True,True,1217700102510
http://www.biscol.ru,True,True,True,1217700119933
http://rck51.ru,False,False,False,1215100002545
http://1-advokatskoe-byuro.ru,True,True,False,1215600007622
http://azrb.ru,False,False,False,1210200014430
http://суджнародтрадит.рф,True,False,False,1214600002572
http://spartak-tz.ru,False,False,False,1210200017378
http://dobro-perm.ru,True,True,True,1215900014780
http://уфа-альянс.рф,True,False,False,1210200018819
http://anorsi.ru,False,False,False,1210200018907
http://vorotavsport.ru,True,True,True,1210200017411
http://agroturizm54.ru,True,True,False,1215400015808
http://bfaom.ru,False,False,False,1213900010026
http://specopbabushka.ru,True,True,True,1217700121100
https://ngolikeyou.ru,True,True,True,1217700385539
http://belosnezhka-pg.mskobr.ru,True,True,False,1217700380314
http://yfnd.ru,True,True,False,1217600004588
http://ipipm.ru,True,True,True,1217700173096
http://naogs.ru,False,False,False,1217700173129
http://мызавас.рф,True,True,False,1213500013407
http://ukkursor.ru,True,True,True,1210200041424
http://createdu.ru,True,True,True,1215000039055
http://мывместефонд.рф,True,True,False,1215500008020
https://porapomogat.ru,True,True,True,1217800016081
http://tracee.ru,True,False,False,1217700046035
http://kasharynews.ru,True,True,True,1216100001237
http://nido-russia.ru,True,True,False,1217700029612
http://www.moboo.ru,True,True,True,1215000005021
http://sport-atworld.ru,True,True,True,1215000000995
http://orient-journal.ru,True,False,False,1213800003284
http://portal-kultura.ru,True,True,True,1217700054868
http://dsmcf.ru,True,False,False,1217200005230
http://бфисс.рф,True,False,False,1217200005230
http://orthodoxicon.ru,True,True,True,1217700058157
http://sodcentr.ru,False,True,False,1213800000105
http://socuslugimo.ru,True,True,False,1215000009311
http://anoinstartup.ru,True,True,True,1213300000231
http://sankinabf.ru,True,True,False,1210200000317
http://fctemp.ru,True,True,False,1212200003718
http://deti-v-bolnice.ru,True,True,True,1212600000227
http://fond-imenikonova.ru,True,True,True,1210900000310
http://instituteoftheatre.ru,True,True,False,1217700033682
http://daily-29.ru,True,True,True,1212900000840
https://фондкругдобра.рф,True,True,True,1217700036080
http://anogisp.ru,False,False,False,1214100000102
http://gazetaniva-perm.ru,True,True,False,1215900005903
http://assorg.ru,True,False,False,1212100000485
http://www.ushinsky-iro.ru,True,True,False,1211800004998
http://prolapy-fond.ru,True,True,True,1217700049600
http://rvfond.ru,True,False,False,1217800052910
http://academiasport76.ru,True,True,True,1217600006073
http://fond-lukyasha.ru,True,True,False,1217800040952
http://azbuka-rs.ru,False,False,False,1212400005960
http://innovationcentre.ru,True,True,True,1217800042460
http://omsknoc.ru,True,True,False,1215500000870
http://sodrujestvohotosho.ru,True,True,True,1217700014905
http://starforsma.ru,True,True,True,1217700063020
http://бфн.рф,True,True,True,1215400018790
http://domrz.ru,False,False,False,1037739148260
http://spbrc.nw.ru,False,False,False,1037800004461
http://kmipt.ru,True,True,True,1025001199904
http://avcrf.ru,True,True,False,1147799008851
http://alumnirussia.org,True,True,True,1157700006276
http://тсжкутузов.рф,False,False,False,1037730020646
