id,title,score,numericValue,numericUnit,website
interactive,Time to Interactive,0.3,5778.5,millisecond,http://досааф43.рф
largest-contentful-paint,Largest Contentful Paint,0.0,10239.5,millisecond,http://досааф43.рф
first-contentful-paint,First Contentful Paint,0.88,970.0,millisecond,http://досааф43.рф
interactive,Time to Interactive,1.0,315.0,millisecond,http://cultt.ru
largest-contentful-paint,Largest Contentful Paint,1.0,560.0,millisecond,http://cultt.ru
first-contentful-paint,First Contentful Paint,1.0,315.0,millisecond,http://cultt.ru
interactive,Time to Interactive,0.74,3327.5,millisecond,http://tverbasket.ru
largest-contentful-paint,Largest Contentful Paint,0.15,4228.5,millisecond,http://tverbasket.ru
first-contentful-paint,First Contentful Paint,1.0,453.5,millisecond,http://tverbasket.ru
interactive,Time to Interactive,0.72,3401.0,millisecond,http://rteatr.ru
largest-contentful-paint,Largest Contentful Paint,0.28,3268.0,millisecond,http://rteatr.ru
first-contentful-paint,First Contentful Paint,0.76,1193.0,millisecond,http://rteatr.ru
interactive,Time to Interactive,0.62,3880.0,millisecond,http://ragin-std.ru
largest-contentful-paint,Largest Contentful Paint,0.2,3813.0,millisecond,http://ragin-std.ru
first-contentful-paint,First Contentful Paint,0.32,1949.0,millisecond,http://ragin-std.ru
interactive,Time to Interactive,1.0,420.0,millisecond,http://center-rf.ru
largest-contentful-paint,Largest Contentful Paint,0.91,1165.0,millisecond,http://center-rf.ru
first-contentful-paint,First Contentful Paint,1.0,420.0,millisecond,http://center-rf.ru
interactive,Time to Interactive,1.0,650.0,millisecond,http://fondsi-rf.ru
largest-contentful-paint,Largest Contentful Paint,0.74,1683.0,millisecond,http://fondsi-rf.ru
first-contentful-paint,First Contentful Paint,0.98,650.0,millisecond,http://fondsi-rf.ru
interactive,Time to Interactive,0.99,1502.0,millisecond,http://premia-rf.ru
largest-contentful-paint,Largest Contentful Paint,0.8,1530.0,millisecond,http://premia-rf.ru
first-contentful-paint,First Contentful Paint,1.0,405.0,millisecond,http://premia-rf.ru
interactive,Time to Interactive,1.0,420.0,millisecond,http://rusproekt-rf.ru
largest-contentful-paint,Largest Contentful Paint,0.76,1637.0,millisecond,http://rusproekt-rf.ru
first-contentful-paint,First Contentful Paint,1.0,420.0,millisecond,http://rusproekt-rf.ru
interactive,Time to Interactive,1.0,965.0,millisecond,http://fondpnofr.ru
largest-contentful-paint,Largest Contentful Paint,0.95,965.0,millisecond,http://fondpnofr.ru
first-contentful-paint,First Contentful Paint,0.89,965.0,millisecond,http://fondpnofr.ru
interactive,Time to Interactive,1.0,380.0,millisecond,http://слободин.рф
largest-contentful-paint,Largest Contentful Paint,1.0,380.0,millisecond,http://слободин.рф
first-contentful-paint,First Contentful Paint,1.0,380.0,millisecond,http://слободин.рф
interactive,Time to Interactive,0.99,1454.5,millisecond,http://startplus-avto.ru
largest-contentful-paint,Largest Contentful Paint,0.17,3999.0,millisecond,http://startplus-avto.ru
first-contentful-paint,First Contentful Paint,0.59,1454.5,millisecond,http://startplus-avto.ru
interactive,Time to Interactive,0.99,1418.0,millisecond,http://npaudit.ru
largest-contentful-paint,Largest Contentful Paint,0.27,3355.0,millisecond,http://npaudit.ru
first-contentful-paint,First Contentful Paint,0.61,1418.0,millisecond,http://npaudit.ru
interactive,Time to Interactive,1.0,1341.5,millisecond,http://hkmayak.ru
largest-contentful-paint,Largest Contentful Paint,0.67,1900.0,millisecond,http://hkmayak.ru
first-contentful-paint,First Contentful Paint,0.66,1341.5,millisecond,http://hkmayak.ru
interactive,Time to Interactive,1.0,438.0,millisecond,http://etce.ru
largest-contentful-paint,Largest Contentful Paint,1.0,550.0,millisecond,http://etce.ru
first-contentful-paint,First Contentful Paint,1.0,438.0,millisecond,http://etce.ru
lighthouseError,lighthouseError,lighthouseError,lighthouseError,lighthouseError,http://bfrir.ru
interactive,Time to Interactive,0.93,2270.0,millisecond,http://nppeb.ru
largest-contentful-paint,Largest Contentful Paint,0.32,3110.0,millisecond,http://nppeb.ru
first-contentful-paint,First Contentful Paint,0.2,2270.0,millisecond,http://nppeb.ru
interactive,Time to Interactive,0.71,3485.0,millisecond,http://sibcentre54.ru
largest-contentful-paint,Largest Contentful Paint,0.46,2525.0,millisecond,http://sibcentre54.ru
first-contentful-paint,First Contentful Paint,0.55,1515.0,millisecond,http://sibcentre54.ru
interactive,Time to Interactive,1.0,1286.5,millisecond,http://цппк74.рф
largest-contentful-paint,Largest Contentful Paint,0.74,1701.0,millisecond,http://цппк74.рф
first-contentful-paint,First Contentful Paint,0.92,880.0,millisecond,http://цппк74.рф
interactive,Time to Interactive,0.99,1400.0,millisecond,http://fondbaik.ru
largest-contentful-paint,Largest Contentful Paint,0.8,1525.0,millisecond,http://fondbaik.ru
first-contentful-paint,First Contentful Paint,0.68,1310.0,millisecond,http://fondbaik.ru
interactive,Time to Interactive,1.0,775.0,millisecond,http://fundnozo.ru
largest-contentful-paint,Largest Contentful Paint,0.82,1473.0,millisecond,http://fundnozo.ru
first-contentful-paint,First Contentful Paint,1.0,460.0,millisecond,http://fundnozo.ru
interactive,Time to Interactive,0.99,1421.0,millisecond,http://swimming30.ru
largest-contentful-paint,Largest Contentful Paint,0.76,1650.0,millisecond,http://swimming30.ru
first-contentful-paint,First Contentful Paint,0.61,1421.0,millisecond,http://swimming30.ru
interactive,Time to Interactive,0.8,3053.0,millisecond,http://gkhrf.ru
largest-contentful-paint,Largest Contentful Paint,0.38,2813.0,millisecond,http://gkhrf.ru
