vk,count_members,count_posts_all,count_posts_per_month,likes_overall_all,likes_mean_all,comments_overall_all,comments_mean_all,reposts_overall_all,reposts_mean_all,views_overall_all,views_mean_all,ads_overall_all,ads_mean_all,ogrn,shortName,fullName,field,website,group_id
https://vk.com/moos51,1403.0,5236.0,6.67,120.0,6.0,7.0,0.35,120.0,6.0,3303.0,165.15,0.0,0.0,1145100000297,"МОО ""СОТРУДНИЧЕСТВО""","МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИЮ ГРАЖДАНСКОГО ОБЩЕСТВА ПЕЧЕНГСКОГО РАЙОНА ""СОТРУДНИЧЕСТВО""",Развитие гражданского общества,moosotrudnichestvo.ru,moos51
https://vk.com/mosathletics.federation,3299.0,943.0,6.67,763.0,38.15,50.0,2.5,763.0,38.15,80273.0,4013.65,0.0,0.0,1027739506651,"РОО ""ФЕДЕРАЦИЯ ЛЕГКОЙ АТЛЕТИКИ Г.МОСКВЫ""","РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ ЛЕГКОЙ АТЛЕТИКИ Г.МОСКВЫ""",Спорт,www.mosathletics.ru,mosathletics.federation
https://vk.com/mosbasket,2173.0,2857.0,10.0,585.0,29.25,13.0,0.65,585.0,29.25,33060.0,1653.0,0.0,0.0,1087799010672,"РОО ""ФБМ""","РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ БАСКЕТБОЛА ГОРОДА МОСКВЫ""",Спорт,mosbasket.ru,mosbasket
https://vk.com/moscompass,692.0,593.0,2.22,386.0,19.3,6.0,0.3,386.0,19.3,17312.0,865.6,0.0,0.0,1035000020934,ФСО МОСКОВСКОЙ ОБЛАСТИ,"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ФИЗКУЛЬТУРНО-СПОРТИВНАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ СПОРТИВНОГО ОРИЕНТИРОВАНИЯ МОСКОВСКОЙ ОБЛАСТИ""",Спорт,moscompass.ru,moscompass
https://vk.com/moscow_tpp,,1918.0,10.0,52.0,2.6,1.0,0.05,52.0,2.6,1312.0,65.6,0.0,0.0,1037739268270,"МОСКОВСКАЯ ТПП, МТПП","СОЮЗ ""МОСКОВСКАЯ ТОРГОВО-ПРОМЫШЛЕННАЯ ПАЛАТА""",Поддержка предпринимательства,mostpp.ru,moscow_tpp
https://vk.com/moscowdesignmuseum,2263.0,1341.0,6.67,340.0,17.0,16.0,0.8,340.0,17.0,16325.0,816.25,0.0,0.0,1127799010195,"ЧУК ""МОСКОВСКИЙ МУЗЕЙ ДИЗАЙНА""","ЧАСТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""МОСКОВСКИЙ МУЗЕЙ ДИЗАЙНА""","Культура, искусство",moscowdesignmuseum.ru,moscowdesignmuseum
https://vk.com/moscowseedfund,,126.0,5.0,134.0,6.7,2.0,0.1,134.0,6.7,1317.0,65.85,0.0,0.0,1057749323202,ФОНД РАЗВИТИЯ ВЕНЧУРНОГО ИНВЕСТИРОВАНИЯ ГОРОДА МОСКВЫ,ФОНД СОДЕЙСТВИЯ РАЗВИТИЮ ВЕНЧУРНЫХ ИНВЕСТИЦИЙ В МАЛЫЕ ПРЕДПРИЯТИЯ В НАУЧНО-ТЕХНИЧЕСКОЙ СФЕРЕ ГОРОДА МОСКВЫ,Поддержка предпринимательства,mosinnov.ru,moscowseedfund
https://vk.com/moscowtaekwondoschool,1834.0,4347.0,10.0,680.0,34.0,8.0,0.4,680.0,34.0,17421.0,871.05,0.0,0.0,1157700020961,"АНО ""МШТ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""МОСКОВСКАЯ ШКОЛА ТАЭКВОН-ДО""","Образование, просвещение",www.taekwon-do.ru,moscowtaekwondoschool
https://vk.com/mosgu_univer,5693.0,3387.0,20.0,281.0,14.05,5.0,0.25,281.0,14.05,24948.0,1247.4,0.0,0.0,1127799015277,"АНО ВО ""МОСКОВСКИЙ ГУМАНИТАРНЫЙ УНИВЕРСИТЕТ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ГУМАНИТАРНЫЙ УНИВЕРСИТЕТ""","Образование, просвещение",www.mosgu.ru,mosgu_univer
https://vk.com/mosopora,272.0,2535.0,10.0,8.0,0.4,0.0,0.0,8.0,0.4,510.0,25.5,0.0,0.0,1057700018881,"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ ""ОПОРА РОССИИ""","МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ МАЛОГО И СРЕДНЕГО ПРЕДПРИНИМАТЕЛЬСТВА ""ОПОРА РОССИИ""",Поддержка предпринимательства,mosopora.ru,mosopora
